State,Year,Salary,Source,Note
Nebraska,14,49539,NEA,
Nebraska,15,50525,NEA,est
Nebraska,16,51364,NEA,est
Nevada,11,53023,NEA,est
Nevada,12,54559,NEA,est
Nevada,13,55957,NEA,est
Nevada,14,55813,NEA,
Nevada,15,56703,NEA,est
Nevada,16,56943,NEA,est
New Hampshire,11,52792,NEA,est
New Hampshire,12,54177,NEA,est
New Hampshire,13,55599,NEA,est
New Hampshire,14,57057,NEA,est
New Hampshire,15,58554,NEA,est
New Hampshire,16,58802,NEA,est
New Jersey,11,66612,NEA,
New Jersey,12,67078,NEA,
New Jersey,13,67447,NEA,
New Jersey,14,68238,NEA,
New Jersey,15,69038,NEA,est
New Jersey,16,69330,NEA,est
New Mexico,11,46888,NEA,
New Mexico,12,45622,NEA,
New Mexico,13,45453,NEA,
New Mexico,14,45727,NEA,
New Mexico,15,46625,NEA,est
New Mexico,16,47163,NEA,est
New York,11,72708,NEA,
New York,12,73398,NEA,
New York,13,75279,NEA,est
New York,14,76409,NEA,
New York,15,77628,NEA,est
New York,16,77957,NEA,est
North Carolina,11,46700,NEA,
North Carolina,12,45933,NEA,
North Carolina,13,45737,NEA,
North Carolina,14,44990,NEA,
North Carolina,15,47819,NEA,
North Carolina,16,47985,NEA,est
North Dakota,11,44807,NEA,
North Dakota,12,46058,NEA,est
North Dakota,13,47344,NEA,est
North Dakota,14,48666,NEA,est
North Dakota,15,50025,NEA,est
North Dakota,16,50237,NEA,est
Ohio,11,56715,NEA,
Ohio,12,56715,NEA,
Ohio,13,56307,NEA,
Ohio,14,55913,NEA,
Ohio,15,56172,NEA,est
Ohio,16,56410,NEA,est
Oklahoma,11,44343,NEA,
Oklahoma,12,44391,NEA,
Oklahoma,13,44373,NEA,
Oklahoma,14,44547,NEA,est
Oklahoma,15,45317,NEA,est
Oklahoma,16,44921,NEA,est
Oregon,11,56503,NEA,
Oregon,12,56941,NEA,
Oregon,13,57600,NEA,
Oregon,14,58638,NEA,
Oregon,15,59811,NEA,
Oregon,16,60064,NEA,est
Pennsylvania,11,60760,NEA,
Pennsylvania,12,61934,NEA,
Pennsylvania,13,62994,NEA,
Pennsylvania,14,63701,NEA,
Pennsylvania,15,64447,NEA,est
Pennsylvania,16,64991,NEA,est
Rhode Island,11,60923,NEA,est
Rhode Island,12,62186,NEA,est
Rhode Island,13,63474,NEA,est
Rhode Island,14,64696,NEA,est
Rhode Island,15,65918,NEA,est
Rhode Island,16,66197,NEA,est
South Carolina,11,47050,NEA,
South Carolina,12,47428,NEA,
South Carolina,13,48375,NEA,
South Carolina,14,48430,NEA,
South Carolina,15,48486,NEA,est
South Carolina,16,48542,NEA,est
South Dakota,11,39850,NEA,
South Dakota,12,38804,NEA,
South Dakota,13,39018,NEA,
