LEAID,AGCHRT,SHYEAR,LAT,LON
1201050,2,2002-03,28.8115,-81.7292
1201080,2,2002-03,26.5999,-81.8535
1201110,2,2002-03,30.4405,-84.3343
1201140,2,2002-03,29.458,-82.6348
1201200,2,2013-14,30.4712,-83.4094
1201230,2,2002-03,27.4946,-82.5648
1201260,2,2002-03,29.184,-82.1323
1201290,2,2004-05,27.1958,-80.2455
1201320,2,2002-03,24.5638,-81.798
1201380,2,2002-03,30.406,-86.6073
1201440,2,2002-03,28.5502,-81.3843
1201470,2,2002-03,28.2988,-81.3614
1201500,2,2002-03,26.6509,-80.0934
1201530,2,2002-03,28.2626,-82.4764
1201560,2,2002-03,27.9128,-82.7916
1201590,2,2002-03,27.8755,-81.8463
1201620,2,2003-04,29.6461,-81.6365
1201650,2,2002-03,30.6196,-87.039
1201680,2,2002-03,27.2804,-82.5312
1201710,2,2002-03,28.7578,-81.284
1201740,2,2002-03,29.8976,-81.3169
1201770,2,2007-08,27.4259,-80.3713
1201800,2,2002-03,28.6592,-82.1477
1201920,2,2002-03,29.0307,-81.309
1201950,2,2002-03,30.1763,-84.3792
1201980,2,2002-03,30.7207,-86.0986
1202012,2,2007-08,26.3656,-80.1052
1202013,2,2006-07,30.384,-84.2227
1300120,2,2002-03,33.7489,-84.3922
1300214,2,2009-10,34.6048,-83.7696
1300330,2,2002-03,34.2228,-84.8159
1300390,2,2005-06,31.2001,-83.2571
1300630,2,2004-05,32.4602,-81.7939
1300840,2,2011-12,33.569,-85.0446
1300900,2,2003-04,34.1723,-84.7922
1301020,2,2002-03,32.0764,-81.0928
1301050,2,2005-06,32.3073,-84.7814
1301170,2,2011-12,33.9626,-83.4327
1301230,2,2005-06,33.5359,-84.3567
1301260,2,2002-03,31.0353,-82.7508
1301290,2,2002-03,33.9383,-84.5377
1301500,2,2002-03,33.3944,-84.8002
1301680,2,2011-12,33.7833,-84.3056
1301740,2,2002-03,33.8322,-84.1955
1301800,2,2006-07,32.0903,-83.7941
1301830,2,2006-07,31.5784,-84.1517
1301860,2,2006-07,33.7376,-84.769
1301980,2,2011-12,32.3739,-81.31
1302190,2,2011-12,34.281,-85.1686
1302220,2,2005-06,34.2325,-84.1208
1302280,2,2002-03,33.6813,-84.415
1302310,2,2011-12,34.3007,-83.8329
1302400,2,2011-12,31.1477,-81.4913
1302460,2,2013-14,30.8775,-84.2081
1302490,2,2007-08,33.5682,-83.1819
1302520,2,2002-03,33.2468,-84.2621
1302550,2,2007-08,34.016,-84.0542
1302610,2,2011-12,34.3086,-83.8279
1302820,2,2013-14,33.4484,-84.1387
1302880,2,2011-12,32.4589,-83.7288
1303510,2,2006-07,33.9578,-84.5279
1303690,2,2002-03,31.2263,-84.2086
1303780,2,2006-07,33.5952,-83.4547
1303870,2,2007-08,32.4771,-84.9481
1303930,2,2011-12,33.5991,-83.8529
1304380,2,2006-07,33.4757,-81.9671
1304410,2,2006-07,33.6708,-84.0198
1304680,2,2003-04,33.5592,-82.91
1304890,2,2002-03,30.8591,-83.9519
1305040,2,2011-12,32.2065,-82.3218
1305130,2,2002-03,34.5433,-85.3122
1305580,2,2007-08,32.1334,-84.4415
1305700,2,2004-05,34.7504,-84.9697
1500030,2,2002-03,21.3087,-157.855
1600002,2,2002-03,48.3034,-116.5407
1600010,2,2004-05,46.7982,-116.5587
1600270,2,2002-03,43.1864,-112.3412
1600360,2,2002-03,43.5756,-116.2831
