LEAID,SHYEAR,AGCHRT,LAT,LON
2600089,1999-00,1,NA,NA
2600090,1999-00,1,42.89588,-85.634931
2600091,1999-00,1,NA,NA
2600092,1999-00,1,42.987681,-85.77797
2600093,1999-00,1,42.889368,-85.607699
2600094,1999-00,1,NA,NA
2600096,1999-00,1,42.78374,-85.701907
2600097,1999-00,1,42.90592,-85.64885
2600098,1999-00,1,42.86994,-85.70446
2600099,1999-00,1,42.458283,-83.837996
2600100,1999-00,1,42.634518,-83.763992
2600101,1999-00,1,42.58451,-82.95181
2600102,1999-00,1,NA,NA
2600103,1999-00,1,45.660384,-87.343658
2600104,1999-00,1,NA,NA
2600106,1999-00,1,42.455094,-83.219216
2600107,1999-00,1,NA,NA
2600108,1999-00,1,42.471761,-83.224833
2600109,1999-00,1,NA,NA
2600110,1999-00,1,NA,NA
2600111,1999-00,1,NA,NA
2600112,1999-00,1,43.08845,-86.219151
2600113,1999-00,1,43.08598,-86.21238
2600114,1999-00,1,42.779188,-86.099825
2600115,1999-00,1,42.78335,-86.121407
2600117,1999-00,1,NA,NA
2600118,1999-00,1,NA,NA
2600119,1999-00,1,NA,NA
2600120,1999-00,1,42.95278,-82.479221
2600121,1999-00,1,42.260512,-83.796533
2600122,1999-00,1,NA,NA
2600123,1999-00,1,42.32094,-83.076258
2600124,1999-00,1,42.44213,-83.158581
2600125,1999-00,1,42.360122,-83.047564
2600126,1999-00,1,42.43005,-83.26197
2600128,1999-00,1,42.36991,-83.273321
2600129,1999-00,1,NA,NA
2600130,1999-00,1,42.43458,-83.298601
2600131,1999-00,1,42.414701,-83.171335
2600132,1999-00,1,42.30443,-83.30694
2600133,1999-00,1,NA,NA
2600134,1999-00,1,42.337098,-83.037778
2600135,1999-00,1,NA,NA
2600136,1999-00,1,42.456331,-82.957611
2600137,1999-00,1,42.0874,-83.257156
2600138,1999-00,1,NA,NA
2600139,1999-00,1,42.31097,-83.129302
2600140,1999-00,1,42.416433,-83.055833
2600141,1999-00,1,43.568661,-84.181311
2600142,1999-00,1,42.077769,-86.343365
2600143,1999-00,1,41.934229,-84.647773
2600144,1999-00,1,43.525512,-84.855686
2600145,1999-00,1,43.085027,-85.370634
2600147,1999-00,1,NA,NA
2600148,1999-00,1,42.993775,-85.602553
2600149,1999-00,1,43.016098,-85.715266
2600150,1999-00,1,42.825415,-85.625637
2600151,1999-00,1,43.046824,-83.3395
2600152,1999-00,1,44.236872,-86.312157
2600153,1999-00,1,46.557298,-87.452687
2600154,1999-00,1,43.07277,-85.137281
2600156,1999-00,1,42.64498,-83.298351
2600157,1999-00,1,42.631903,-83.287371
2600158,1999-00,1,NA,NA
2600159,1999-00,1,42.825735,-86.076953
2600161,1999-00,1,43.396078,-83.87829
2600162,1999-00,1,NA,NA
2600163,1999-00,1,42.250299,-83.730277
2600164,1999-00,1,42.263559,-83.665454
2600165,1999-00,1,NA,NA
2600166,1999-00,1,42.274589,-83.196748
2600167,1999-00,1,NA,NA
2600168,1999-00,1,42.44436,-82.941761
2600169,1999-00,1,42.42646,-83.02634
2600170,1999-00,1,42.380308,-83.247501
2600171,1999-00,1,42.306085,-83.223074
2600172,1999-00,1,42.448981,-82.925933
2600173,1999-00,1,42.331367,-83.228366
2600174,1999-00,1,42.3399,-83.01873
2600175,1999-00,1,42.441608,-83.065652
2600177,1999-00,1,NA,NA
2600178,1999-00,1,42.38053,-82.98565
2600179,1999-00,1,NA,NA
2600181,1999-00,1,42.300582,-85.212829
2600182,1999-00,1,41.91268,-84.66094
2600183,1999-00,1,NA,NA
2600184,1999-00,1,42.225689,-85.613314
2600185,1999-00,1,42.959,-85.64741
2600186,1999-00,1,43.700325,-85.48495
2600188,1999-00,1,NA,NA
2600189,1999-00,1,NA,NA
2600190,1999-00,1,NA,NA
2600191,1999-00,1,42.1103,-86.4654
2600192,1999-00,1,42.324201,-85.237952
2600193,1999-00,1,42.946131,-83.608055
2600194,1999-00,1,43.060991,-83.710566
2600195,1999-00,1,42.996649,-83.678522
2600196,1999-00,1,NA,NA
2600197,1999-00,1,43.05236,-83.771299
2600198,1999-00,1,NA,NA
2600200,1999-00,1,42.450319,-84.435297
2600201,1999-00,1,NA,NA
2600202,1999-00,1,NA,NA
2600203,1999-00,1,42.7411,-84.5912
2600204,1999-00,1,42.234876,-84.466072
2600205,1999-00,1,NA,NA
2600206,1999-00,1,42.255008,-85.591482
2600207,1999-00,1,43.226487,-85.560237
2600208,1999-00,1,42.920901,-85.565784
2600209,1999-00,1,43.0869,-85.6286
2600210,1999-00,1,42.514066,-82.946642
2600211,1999-00,1,42.567429,-83.011866
2600212,1999-00,1,42.488664,-82.954078
2600213,1999-00,1,41.730102,-83.627059
2600214,1999-00,1,43.231406,-86.179828
2600215,1999-00,1,42.46551,-83.222071
2600216,1999-00,1,42.792437,-83.641228
2600217,1999-00,1,42.389723,-83.043173
2600218,1999-00,1,43.406985,-83.946619
2600219,1999-00,1,43.485621,-83.967098
2600220,1999-00,1,42.984291,-82.519539
2600221,1999-00,1,NA,NA
2600222,1999-00,1,42.231409,-83.734064
2600223,1999-00,1,42.168909,-83.681519
2600224,1999-00,1,42.3502,-83.08715
